Depth,Gamma Ray,Resistivity,Sonic,Temperature
100.0,60.5,8.7,120.1,82.3
100.5,63.2,9.1,119.8,82.5
101.0,,9.4,118.9,82.6
101.5,65.8,9.6,118.3,82.9
102.0,70.1,10.3,117.6,83.1
102.5,71.5,,117.1,83.5
103.0,74.8,11.1,116.7,83.7
103.5,77.3,11.4,116.1,83.9
104.0,79.5,11.7,,84.1
104.5,80.2,12.1,114.5,84.5
105.0,82.1,12.3,113.9,84.8
105.5,85.4,,113.3,85.2
106.0,87.2,13.4,112.8,85.6
106.5,,13.8,112.2,85.9
107.0,90.1,14.0,111.7,86.3
107.5,92.5,14.2,111.2,86.7
108.0,95.8,14.5,110.9,87.1
108.5,97.2,,110.2,87.5
109.0,98.3,15.1,109.9,87.9
109.5,100.0,15.5,109.5,88.3
110.0,102.1,16.0,108.9,88.7
110.5,105.5,16.3,108.2,89.1
111.0,107.8,16.5,107.5,89.3
111.5,110.2,16.8,107.0,89.7
112.0,112.5,17.0,106.5,90.0
112.5,115.0,17.3,105.8,90.4
113.0,117.5,17.5,105.2,90.7
113.5,119.0,17.8,104.8,91.0
114.0,,18.0,104.3,91.2
114.5,123.2,18.3,103.8,91.5
115.0,124.7,,103.2,91.8
115.5,126.5,18.9,102.7,92.1
116.0,128.2,19.1,102.2,92.5
116.5,129.0,19.5,,92.7
117.0,130.8,19.8,101.6,93.0
117.5,132.5,20.0,101.2,93.3
118.0,135.0,20.3,100.8,93.5
118.5,137.2,20.5,100.3,93.8
119.0,,20.7,99.8,94.0
119.5,140.1,21.0,99.2,94.3
120.0,142.5,21.3,98.8,94.7
120.5,143.0,,98.3,95.0
121.0,145.3,21.8,97.9,95.3
121.5,147.0,22.0,97.5,95.6
122.0,149.2,22.3,97.1,95.8
122.5,150.5,22.5,96.8,96.1
123.0,151.8,22.8,96.2,96.5
123.5,153.2,23.0,95.8,96.8
124.0,154.0,,95.3,97.1
124.5,156.5,23.5,94.9,97.5
125.0,158.0,23.7,94.5,97.8
125.5,160.2,24.0,94.0,98.1
126.0,162.5,24.2,93.6,98.4
126.5,164.0,24.5,93.3,98.7
127.0,166.2,24.8,,99.0
127.5,168.0,25.0,92.8,99.2
128.0,169.5,25.2,92.5,99.5
128.5,,25.5,92.1,99.8
129.0,172.0,25.8,91.9,100.1
129.5,174.5,26.0,91.5,100.3
130.0,175.0,,91.1,100.6
130.5,176.5,26.3,90.8,101.0
131.0,177.8,26.5,90.4,101.2
131.5,179.0,26.8,90.1,101.6
132.0,181.2,27.0,89.8,102.0
132.5,182.5,27.3,89.4,102.3
133.0,184.0,27.5,89.0,102.6
133.5,186.0,27.8,88.7,102.9
134.0,,28.0,88.3,103.2
134.5,188.2,28.3,88.0,103.5
135.0,190.0,28.5,87.7,103.8
135.5,191.2,28.8,87.3,104.2
136.0,193.5,29.0,87.0,104.5
136.5,194.8,29.3,86.7,104.8
137.0,196.0,29.5,86.3,105.2
137.5,198.0,29.8,86.0,105.5
138.0,199.5,30.0,85.6,105.8
138.5,,30.3,85.3,106.1
139.0,201.2,30.5,85.0,106.5
139.5,203.0,30.8,84.6,106.8
140.0,204.5,31.0,84.3,107.1
140.5,206.0,31.3,84.0,107.5
141.0,207.2,,83.6,107.8
141.5,208.5,31.8,83.3,108.1
142.0,210.0,32.0,83.0,108.4
142.5,211.5,32.3,82.6,108.8
143.0,213.2,32.5,82.3,109.0
143.5,214.8,32.8,82.0,109.3
144.0,216.5,33.0,81.7,109.6
144.5,218.0,,81.3,110.0
145.0,220.0,33.5,81.0,110.3
145.5,221.2,33.8,80.7,110.7
146.0,223.0,34.0,80.3,111.0
146.5,225.0,34.3,80.0,111.3
147.0,226.5,34.5,79.7,111.7
147.5,228.0,34.8,79.3,112.0
148.0,230.5,35.0,79.0,112.3
148.5,231.8,35.3,78.7,112.7
149.0,233.2,35.5,78.3,113.0
149.5,234.5,35.8,78.0,113.3
150.0,236.0,,77.6,113.7
150.5,237.5,36.3,77.3,114.0
151.0,238.8,36.5,77.0,114.3
151.5,240.0,36.8,76.7,114.6
152.0,241.2,37.0,76.3,115.0
152.5,243.0,37.3,76.0,115.3
153.0,244.5,37.5,75.7,115.6
153.5,246.0,37.8,75.3,116.0
154.0,247.5,,75.0,116.3
154.5,248.0,38.3,74.7,116.7
155.0,249.5,38.5,74.3,117.0
155.5,250.8,38.8,74.0,117.3
156.0,252.0,39.0,73.7,117.6
